CÓDIGO-DO-TRECHO,TRECHO-INÍCIO,TRECHO-FINAL,EXTENSÃO(km),SITUAÇÃO-FÍSICA,TIPO-DE-REVESTIMENTO,TRECHO-COINCIDENTE-DISTRITAL,TRECHO-COINCIDENTE-FEDERAL-SUPERPOSTA,TMD,NOMENCLATURA-ANTERIOR
128EDF0090,ACESSO A PLANALTINA/ 1º DISTRITO RODOVIÁRIO,ENTR. DF-230,3.0,PAV,TSD,-,-,7.817,DF-15/DF-130
128EDF0110,ENTR. DF-230,ACESSO AO INSTITUTO FEDERAL DE BRASÍLIA,2.5,PAV,CA,-,-,1.235,DF-15/DF-130/ DF-129
128EDF0130,ACESSO AO INSTITUTO FEDERAL DE BRASÍLIA,ENTR. DF-444,2.4,PAV,-,-,-,1.292,DF-15/ DF-130/ DF-129
128EDF0150,ENTR. DF-444,PEDRA FUNDAMENTAL,1.6,EOP,-,-,-,450,-
130EDF0010,ENTR. DF-230,ACESSO AO VALE DO AMANHECER,2.5,PAV,CA,-,-,14.608,DF-15/DF-130
130EDF0030,ACESSO AO VALE DO AMANHECER,ENTR. BR-479/DF-250,6.7,PAV,CA,-,-,7.345,DF-15/DF-130
130EDF0050,ENTR. BR-479/DF-250,ENTR. DF-455,6.6,PAV,TSD,-,-,4.630,DF-15/DF-130
130EDF0070,ENTR. DF-455,ENTR. VC-411,1.8,PAV,TSD,-,-,3.856,DF-15/DF-130
130EDF0090,ENTR. VC-411,ENTR. VC-413,2.9,PAV,TSD,-,-,4.555,DF-15/DF-130
130EDF0110,ENTR. VC-413,ENTR. DF-355,2.4,PAV,TSD,-,-,4.555,DF-15/DF-130
130EDF0130,ENTR. DF-355,ENTR. DF-260,2.3,PAV,TSD,-,-,4.555,DF-15/DF-130
130EDF0150,ENTR. DF-260,ENTR. VC-401,2.7,PAV,TSD,-,-,4.555,DF-15/DF-130
130EDF0170,ENTR. VC-401,ACESSO AO 4º DISTRITO RODOVIÁRIO,1.6,PAV,TSD,-,-,3.466,DF-15/DF-130
130EDF0190,ACESSO AO 4º DISTRITO RODOVIÁRIO,ENTR. DF-270,4.6,PAV,TSD,-,-,3.466,DF-15/DF-130
130EDF0210,ENTR. DF-270,ENTR. BR-251(A),0.5,PAV,TSD,-,-,4.066,DF-15/DF-130
