no,lon,lat,nome,n_pontas
286,-48.2017833819999,-15.6481302665093,ENTR. BR-080/251,1
287,-48.1432296549999,-15.6341599915097,ENTR. DF-415,4
288,-48.1178956399999,-15.6327931345097,INICIO DE TRECHO PLANEJADO (km. 9.1),1
289,-48.1918713159999,-15.6664460735087,BALÃO DE ENTRADA DE BRAZLÂNDIA,1
290,-48.141279893666564,-15.667787911508702,ENTR. DF-445(A),3
291,-48.139391272333235,-15.667686268508701,ENTR. DF-445(B),3
292,-48.1103026709999,-15.6713653785086,ENTR. VC-527,2
293,-48.19878581,-15.7122606525075,ENTR. BR-080/BR-251,1
294,-48.1880877059999,-15.7093029725075,ENTR. VC-547,2
295,-48.16798458766656,-15.704774448840935,ENTR. DF-435,3
296,-48.1279461569999,-15.7046041885077,FIM DE TRECHO PLANEJADO (km. 7.6),1
297,-47.8374025669999,-15.6816647765083,ENTR. BR-010/BR-020/ BR-030,1
298,-47.8342036539999,-15.6892708155081,ENTR. DF-442,3
299,-47.825890226,-15.692972837508,ENTRADA DO COND. RK (km. 2.1).1,2
300,-47.8101607229999,-15.6957130765079,8.1,2
301,-47.7813319229999,-15.7239672295071,ENTR. VC-263,1
302,-47.7584894859999,-15.7088515505076,ENTR. VC-263,1
303,-47.7586162029999,-15.7093024085075,ENTR. VC-257,1
304,-47.7628667759999,-15.6978792505078,ENTR. VC-257,1
305,-47.7829499059999,-15.6542834045091,ACESSO A BR-010/ BR-020/BR-030 (SLU),1
306,-48.1422531479999,-15.6510020055092,ENTR. VC-527,2
307,-48.1291296379999,-15.7839342855054,ENTR. BR-070,1
308,-48.1291173429999,-15.7748331495057,FIM DO TRECHO DUPLICADO,2
309,-48.127599045,-15.7612159435061,ENTR. VC-561,2
310,-48.1240427609999,-15.729281469507,ENTR. BR-080/BR-251,1
311,-47.6004199359999,-15.799600982505,ENTR. VC-413,2
312,-48.104602327,-15.8440438945037,ACESSO A CEILÂNDIA (VIA DE LIGAÇÃO CENTRO NORTE),1
313,-48.0930920519999,-15.8648121595032,ACESSO A SAMAMBAIA (2ª AVENIDA NORTE),1
314,-47.7870716959999,-15.8971768925023,SÃO SEBASTIÃO,1
315,-47.7857235919999,-15.9186517935016,PRESÍDIO DA PAPUDA,1
316,-47.7602561729999,-15.9149683865018,SÃO SEBASTIÃO,1
317,-47.7497171759999,-15.9377385885011,ENTR. BR-251,1
318,-48.0756729099999,-16.0026617404993,ACESSO AO GAMA,1
319,-48.0746327129999,-15.9843331079998,ENTR. VC-351,2
320,-48.0488007919999,-15.9535728205006,ENTR. VC-341,2
321,-48.0589759129999,-15.9982397404994,GAMA,1
322,-48.0441438319999,-15.9871044454998,ENTR. VC-361,2
323,-48.0532382709999,-16.0018693654993,GAMA,1
324,-48.035839371,-16.0078589474991,ENTR. VC-361,2
325,-48.016310491,-16.015688484499,ENTR. AV. ALAGADOS (SANTA MARIA),1
326,-47.9792457879999,-16.0266621704987,ENTR.BR-040/BR-050,1
327,-47.9531158569999,-16.0339246344984,FERROVIA CENTRO ATLÂNTICO FCA,2
328,-47.9090631259999,-16.0421401594982,FIM DE TRECHO PAVIMENTADO (km 11.6).6.8,1
