u,v,codigo,sentido,rodovia,situacao,pavimentada,extensao_km,tmd_der,v_limite,v_livre_tomtom,tomtom_compartilhado,faixas_estimadas,capacidade_estimada,tem_contagem,vol_7h,vc_7h,vol_18h,vc_18h,K_observado,t_livre_s
30,29,001EDF0570,decrescente,DF-001,IMP,False,7.1,625.0,60.0,62.0,True,1,600,False,,,,,,412.258064516129
30,0,001EDF0590,crescente,DF-001,PAV,True,21.3,3892.0,60.0,69.0,False,1,1400,True,399.0,0.285,218.0,0.15571428571428572,,1111.304347826087
0,30,001EDF0590,decrescente,DF-001,PAV,True,21.3,3892.0,60.0,69.0,False,1,1400,True,122.5,0.0875,207.5,0.14821428571428572,,1111.304347826087
31,32,002EDF0010,crescente,DF-002,DUP,True,7.2,54848.0,60.0,73.0,False,2,3600,True,7566.0,2.1016666666666666,7195.0,1.9986111111111111,,355.0684931506849
32,31,002EDF0010,decrescente,DF-002,DUP,True,7.2,54848.0,60.0,73.0,False,2,3600,True,2981.0,0.8280555555555555,4657.0,1.293611111111111,,355.0684931506849
32,33,002EDF0030,crescente,DF-002,DUP,True,6.6,70133.0,60.0,76.0,False,2,3600,True,5135.0,1.426388888888889,5997.0,1.6658333333333333,,312.6315789473684
33,32,002EDF0030,decrescente,DF-002,DUP,True,6.6,70133.0,60.0,76.0,False,2,3600,True,11281.0,3.133611111111111,7171.0,1.9919444444444445,,312.6315789473684
0,34,003EDF0010,crescente,DF-003,DUP,True,5.2,87537.0,80.0,76.0,False,2,3600,True,10083.0,2.8008333333333333,4360.0,1.211111111111111,,246.31578947368422
34,0,003EDF0010,decrescente,DF-003,DUP,True,5.2,87537.0,80.0,76.0,False,2,3600,True,2347.0,0.6519444444444444,3017.0,0.8380555555555556,,246.31578947368422
34,35,003EDF0030,crescente,DF-003,DUP,True,1.5,95084.0,80.0,78.0,False,2,3600,False,,,,,,69.23076923076924
35,34,003EDF0030,decrescente,DF-003,DUP,True,1.5,95084.0,80.0,78.0,False,2,3600,False,,,,,,69.23076923076924
35,36,003EDF0050,crescente,DF-003,DUP,True,1.9,29808.0,80.0,76.0,False,2,3600,True,2455.0,0.6819444444444445,1303.5,0.3620833333333333,,89.99999999999999
36,35,003EDF0050,decrescente,DF-003,DUP,True,1.9,29808.0,80.0,76.0,False,2,3600,True,1051.0,0.29194444444444445,1808.0,0.5022222222222222,,89.99999999999999
36,37,003EDF0070,crescente,DF-003,DUP,True,2.3,46880.0,80.0,75.0,False,2,3600,False,,,,,,110.39999999999999
37,36,003EDF0070,decrescente,DF-003,DUP,True,2.3,46880.0,80.0,75.0,False,2,3600,True,2387.0,0.6630555555555555,1934.0,0.5372222222222223,,110.39999999999999
37,38,003EDF0090,crescente,DF-003,DUP,True,2.4,126438.0,80.0,78.0,False,2,3600,False,,,,,,110.76923076923076
38,37,003EDF0090,decrescente,DF-003,DUP,True,2.4,126438.0,80.0,78.0,False,2,3600,False,,,,,,110.76923076923076
38,39,003EDF0110,crescente,DF-003,DUP,True,1.1,62259.0,80.0,60.0,False,2,3600,True,2484.0,0.69,2450.0,0.6805555555555556,,66.0
39,38,003EDF0110,decrescente,DF-003,DUP,True,1.1,62259.0,80.0,60.0,False,2,3600,True,512.0,0.14222222222222222,2020.0,0.5611111111111111,,66.0
39,40,003EDF0130,crescente,DF-003,DUP,True,2.8,87587.0,80.0,62.0,True,2,3600,False,,,,,,162.5806451612903
40,39,003EDF0130,decrescente,DF-003,DUP,True,2.8,87587.0,80.0,62.0,True,2,3600,False,,,,,,162.5806451612903
40,41,003EDF0150,crescente,DF-003,DUP,True,2.0,87587.0,80.0,68.0,False,2,3600,False,,,,,,105.88235294117646
41,40,003EDF0150,decrescente,DF-003,DUP,True,2.0,87587.0,80.0,68.0,False,2,3600,False,,,,,,105.88235294117646
41,42,003EDF0152,crescente,DF-003,DUP,True,1.5,91748.0,80.0,69.0,False,2,3600,False,,,,,,78.26086956521739
42,41,003EDF0152,decrescente,DF-003,DUP,True,1.5,91748.0,80.0,69.0,False,2,3600,False,,,,,,78.26086956521739
42,43,003EDF0170,crescente,DF-003,DUP,True,2.4,117911.0,80.0,72.0,False,2,3600,True,2444.0,0.6788888888888889,2519.0,0.6997222222222222,,120.0
43,42,003EDF0170,decrescente,DF-003,DUP,True,2.4,117911.0,80.0,72.0,False,2,3600,True,7099.0,1.9719444444444445,4451.5,1.2365277777777777,,120.0
43,44,003EDF0190,crescente,DF-003,DUP,True,1.4,52431.0,80.0,75.0,False,2,3600,True,2720.0,0.7555555555555555,3025.0,0.8402777777777778,,67.19999999999999
44,43,003EDF0190,decrescente,DF-003,DUP,True,1.4,52431.0,80.0,75.0,False,2,3600,True,2003.0,0.5563888888888889,1671.0,0.46416666666666667,,67.19999999999999
44,45,003EDF0210,crescente,DF-003,DUP,True,0.4,101187.0,80.0,78.0,False,2,3600,False,,,,,,18.46153846153846
45,44,003EDF0210,decrescente,DF-003,DUP,True,0.4,101187.0,80.0,78.0,False,2,3600,False,,,,,,18.46153846153846
45,46,003EDF0230,crescente,DF-003,DUP,True,8.7,71269.0,80.0,83.0,False,2,3600,True,6051.0,1.6808333333333334,5602.0,1.556111111111111,,377.3493975903614
46,45,003EDF0230,decrescente,DF-003,DUP,True,8.7,71269.0,80.0,83.0,False,2,3600,True,10421.0,2.894722222222222,8483.0,2.356388888888889,,377.3493975903614
